,"Variable:/:A:Value"
,1
0.1,9441.42
0.2,8958.38
0.3,8530.64
0.4,8142.88
0.5,7802.12
0.6,7496.54
0.7,7213.5
0.8,6952.48
0.9,6717.34
1,6497.4
1.1,6293.34
1.2,6105.3
1.3,5931.6
1.4,5768.26
1.5,5613.24
1.6,5469.34
1.7,5333.24
1.8,5206.74
1.9,5085.92
2,4971.2
2.1,4862.98
2.2,4759.2
2.3,4660.68
2.4,4567.92
2.5,4477.22
2.6,4391.04
2.7,4309.18
2.8,4231.02
2.9,4155.78
3,4082.32
3.1,4012.44
3.2,3945.28
3.3,3879.38
3.4,3818.48
3.5,3758.06
3.6,3700.28
3.7,3644.36
3.8,3590.14
3.9,3537.62
4,3488.48
4.1,3438.78
4.2,3391.24
4.3,3343.3
4.4,3299.82
4.5,3256.76
4.6,3216.12
4.7,3175.22
4.8,3136.14
4.9,3096.9
5,3059.48
5.1,3022.38
5.2,2986.48
5.3,2951.9
5.4,2917.52
5.5,2886.32
5.6,2854.7
5.7,2823.56
5.8,2792.84
5.9,2762.42
5.99999999999999,2733.34
6.09999999999999,2704.18
6.19999999999999,2677.2
6.29999999999999,2650
6.39999999999999,2624.04
6.49999999999999,2598.44
6.59999999999999,2573.28
6.69999999999999,2548.52
6.79999999999999,2523.76
6.89999999999999,2498.84
6.99999999999999,2475.84
7.09999999999999,2453.2
7.19999999999999,2429.08
7.29999999999999,2407.26
7.39999999999999,2386.28
7.49999999999999,2364.52
7.59999999999999,2345
7.69999999999999,2324.7
7.79999999999999,2304.76
7.89999999999999,2284.96
7.99999999999999,2266
8.09999999999999,2248.54
8.19999999999999,2230.04
8.29999999999999,2212.4
8.39999999999999,2194.92
8.49999999999999,2178.08
8.59999999999999,2160.38
8.69999999999999,2144.46
8.79999999999998,2128.52
8.89999999999998,2111.76
8.99999999999998,2095.06
9.09999999999998,2078.18
9.19999999999998,2063.18
9.29999999999998,2047.58
9.39999999999998,2033.28
9.49999999999998,2018.14
9.59999999999998,2004.28
9.69999999999998,1989.8
9.79999999999998,1975.34
9.89999999999998,1961.76
9.99999999999998,1948.14
10.1,1935.22
10.2,1922.18
10.3,1909.12
10.4,1895.9
10.5,1883
10.6,1870.08
10.7,1856.8
10.8,1844.14
10.9,1831.98
11,1821.28
11.1,1809.28
11.2,1797.86
11.3,1786.82
11.4,1775.48
11.5,1764.2
11.6,1753.34
11.7,1743.26
11.8,1732.62
11.9,1721.3
12,1710.88
12.1,1700.72
12.2,1690.44
12.3,1680.52
12.4,1670.82
12.5,1659.88
12.6,1650.36
12.7,1640.18
12.8,1631.48
12.9,1622.52
13,1613.5
13.1,1605.14
13.2,1595.94
13.3,1587.28
13.4,1578.76
13.5,1570.54
13.6,1562.24
13.7,1553.46
13.8,1545.44
13.9,1536.58
14,1528.66
14.1,1520.96
14.2,1513
14.3,1504.84
14.4,1495.82
14.5,1488.34
14.6,1480.52
14.7,1473.16
14.8,1465.36
14.9,1458.62
15,1450.8
15.1,1443.86
15.2,1436.48
15.3,1429.64
15.4,1422.8
15.5,1416.46
15.6,1409.62
15.7,1402.36
15.8,1395.94
15.9,1389.16
16,1382.36
16.1,1375.6
16.2,1369.06
16.3,1362.78
